temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
39.94,44,993,7.2,230,148.14,0.02,0.47,89.14,1.21,39.64,122.17,8.15,4,111.0,84.0,111.0,Multan,30.1575,71.5249
40.94,40,992,9.26,230,151.3,0.01,0.53,90.01,1.15,39.8,122.19,8.55,4,112.0,84.0,112.0,Multan,30.1575,71.5249
40.94,40,992,9.26,230,153.8,0.0,0.61,89.19,1.09,39.48,121.03,9.04,4,111.0,84.0,111.0,Multan,30.1575,71.5249
39.94,42,991,7.2,230,156.72,0.0,0.71,88.07,1.03,39.16,119.94,9.52,4,110.0,83.0,110.0,Multan,30.1575,71.5249
39.94,42,991,3.09,230,177.44,0.0,1.98,83.39,1.03,39.48,119.03,15.51,4,111.0,83.0,111.0,Multan,30.1575,71.5249
38.94,44,991,3.09,230,208.2,0.0,3.57,76.8,1.06,40.11,118.32,23.45,4,112.0,82.0,112.0,Multan,30.1575,71.5249
38.94,44,992,2.06,180,232.17,0.0,4.41,72.47,1.05,40.48,117.98,28.76,4,113.0,82.0,113.0,Multan,30.1575,71.5249
37.94,50,993,2.06,230,242.65,0.0,4.53,69.56,0.98,39.81,116.59,30.94,4,112.0,81.0,112.0,Multan,30.1575,71.5249
37.94,50,993,0.0,0,242.02,0.0,4.18,68.16,0.89,38.64,115.93,30.11,4,109.0,81.0,109.0,Multan,30.1575,71.5249
36.94,56,993,3.09,180,229.87,0.0,3.62,67.21,0.79,36.36,113.25,28.02,4,103.0,80.0,103.0,Multan,30.1575,71.5249
36.94,53,993,4.12,180,183.71,0.0,1.72,70.27,0.54,31.78,109.72,18.18,4,92.0,78.0,92.0,Multan,30.1575,71.5249
35.94,56,993,4.12,180,166.36,0.0,1.24,69.74,0.48,28.22,104.45,16.15,4,85.0,75.0,85.0,Multan,30.1575,71.5249
