temperature,humidity,pressure,wind_speed,wind_direction,carbon_monoxide,no,nitrogen_dioxide,ozone,sulphur_dioxide,pm2_5,pm10,nh3,openweather_aqi,pm2_5_aqi,pm10_aqi,us_aqi,city,latitude,longitude
12.94,76,1015,0.0,0,2616.88,0.05,43.87,24.68,4.41,305.93,405.12,14.57,5,356.0,273.0,356.0,Multan,30.1575,71.5249
10.94,76,1015,0.0,0,2563.48,0.06,38.39,23.25,3.93,304.8,398.87,12.03,5,355.0,264.0,355.0,Multan,30.1575,71.5249
10.94,76,1016,0.0,0,2456.67,0.05,32.9,23.25,3.22,294.06,380.68,9.63,5,344.0,238.0,344.0,Multan,30.1575,71.5249
9.94,81,1016,0.0,0,2296.45,0.03,27.08,23.96,2.21,275.54,352.85,6.97,5,326.0,199.0,326.0,Multan,30.1575,71.5249
8.94,87,1015,0.0,0,2082.82,0.01,20.56,25.39,1.56,258.31,329.33,5.51,5,309.0,188.0,309.0,Multan,30.1575,71.5249
13.25,52,1015,3.8,358,1922.61,0.01,15.59,27.18,1.25,247.2,315.43,4.69,5,297.0,181.0,297.0,Multan,30.1575,71.5249
7.94,93,1015,0.0,0,1815.8,0.01,12.68,28.25,1.12,239.4,305.52,4.12,5,289.0,176.0,289.0,Multan,30.1575,71.5249
12.11,59,1015,3.94,358,1708.98,0.01,10.88,30.76,1.03,233.73,296.36,3.8,5,283.0,171.0,283.0,Multan,30.1575,71.5249
11.73,62,1015,3.98,2,1602.17,0.0,9.6,36.48,0.97,227.07,283.65,3.67,5,277.0,165.0,277.0,Multan,30.1575,71.5249
11.73,62,1015,3.98,2,1602.17,0.0,9.6,36.48,0.97,227.07,283.65,3.67,5,277.0,165.0,277.0,Multan,30.1575,71.5249
11.73,62,1015,3.98,2,1602.17,0.0,9.6,36.48,0.97,227.07,283.65,3.67,5,277.0,165.0,277.0,Multan,30.1575,71.5249
11.73,62,1015,3.98,2,1602.17,0.0,9.6,36.48,0.97,227.07,283.65,3.67,5,277.0,165.0,277.0,Multan,30.1575,71.5249
11.54,54,1016,3.83,7,1388.55,0.0,7.2,59.37,1.13,203.74,252.99,4.18,5,254.0,150.0,254.0,Multan,30.1575,71.5249
6.94,93,1016,0.0,0,1348.5,0.0,9.6,60.08,1.97,186.61,228.99,4.56,5,237.0,138.0,237.0,Multan,30.1575,71.5249
6.94,93,1017,0.0,0,1361.85,0.05,14.39,53.64,2.59,162.91,200.29,5.45,5,213.0,123.0,213.0,Multan,30.1575,71.5249
7.94,81,1017,0.0,0,1281.74,1.33,15.42,49.35,2.56,129.84,162.91,7.41,5,189.0,105.0,189.0,Multan,30.1575,71.5249
9.94,81,1018,0.0,0,1108.17,2.93,12.68,53.64,2.68,91.58,121.16,10.64,5,170.0,84.0,170.0,Multan,30.1575,71.5249
13.94,58,1017,2.06,50,867.84,2.71,9.85,65.8,3.07,56.2,82.86,11.02,4,151.0,65.0,151.0,Multan,30.1575,71.5249
17.94,32,1017,4.12,360,614.17,1.59,6.51,84.4,4.17,29.82,54.04,9.12,3,88.0,,,Multan,30.1575,71.5249
18.94,30,1016,5.14,360,520.71,1.12,5.06,94.41,4.53,22.78,46.82,9.12,2,73.0,43.0,73.0,Multan,30.1575,71.5249
20.94,28,1015,4.12,50,480.65,0.82,4.37,100.14,4.59,20.69,44.79,9.12,3,69.0,41.0,69.0,Multan,30.1575,71.5249
